pair_band,metric,t,p_uncorr,p_fwer,sig_fwer
gamma_low F3-P3,dwpli,-0.332470291547209,0.7392,1,0
gamma_low F3-P1,dwpli,-1.33971640649011,0.1936,0.9998,0
gamma_low F3-Pz,dwpli,-1.91726522308806,0.0624,0.981,0
gamma_low F3-P2,dwpli,-0.535186035114195,0.5982,1,0
gamma_low F3-P4,dwpli,0.395795191669827,0.6884,1,0
gamma_low F3-CP1,dwpli,-1.26734270564231,0.2078,1,0
gamma_low F3-CP2,dwpli,1.33985769178392,0.187,0.9998,0
gamma_low F3-POz,dwpli,0.266353865670055,0.7916,1,0
gamma_low F1-P3,dwpli,0.813257236233962,0.4224,1,0
gamma_low F1-P1,dwpli,-0.389554620544123,0.7002,1,0
gamma_low F1-Pz,dwpli,-1.04657123815857,0.2976,1,0
gamma_low F1-P2,dwpli,-1.24948978248235,0.2258,1,0
gamma_low F1-P4,dwpli,-0.452778561299138,0.6582,1,0
gamma_low F1-CP1,dwpli,-0.946177966473805,0.3526,1,0
gamma_low F1-CP2,dwpli,1.18490480035741,0.2434,1,0
gamma_low F1-POz,dwpli,0.737713946383381,0.4822,1,0
gamma_low Fz-P3,dwpli,0.216011519644653,0.8344,1,0
gamma_low Fz-P1,dwpli,-1.06705827797144,0.2766,1,0
gamma_low Fz-Pz,dwpli,0.254855742904032,0.796,1,0
gamma_low Fz-P2,dwpli,-0.619440398395205,0.5362,1,0
gamma_low Fz-P4,dwpli,0.286440304793748,0.7826,1,0
gamma_low Fz-CP1,dwpli,0.326504806914134,0.752,1,0
gamma_low Fz-CP2,dwpli,2.41651715566985,0.0186,0.7412,0
gamma_low Fz-POz,dwpli,0.432596540737572,0.6848,1,0
gamma_low F2-P3,dwpli,1.56307204726166,0.119,0.9986,0
gamma_low F2-P1,dwpli,0.162210502285632,0.87,1,0
gamma_low F2-Pz,dwpli,0.82733315234156,0.4156,1,0
gamma_low F2-P2,dwpli,-0.567142834236062,0.6002,1,0
gamma_low F2-P4,dwpli,0.0815440102345427,0.9406,1,0
gamma_low F2-CP1,dwpli,0.815441459054402,0.4096,1,0
gamma_low F2-CP2,dwpli,1.40123481237438,0.1742,0.9998,0
gamma_low F2-POz,dwpli,0.879397168141638,0.3968,1,0
gamma_low F4-P3,dwpli,0.741395592495142,0.4596,1,0
gamma_low F4-P1,dwpli,0.0444861032171016,0.9622,1,0
gamma_low F4-Pz,dwpli,0.427586281501128,0.6736,1,0
gamma_low F4-P2,dwpli,0.247554616045763,0.8056,1,0
gamma_low F4-P4,dwpli,0.823282717222805,0.418,1,0
gamma_low F4-CP1,dwpli,0.618156419585885,0.5474,1,0
gamma_low F4-CP2,dwpli,1.76268149572989,0.08,0.9936,0
gamma_low F4-POz,dwpli,0.976574369913494,0.3278,1,0
gamma_low FC1-P3,dwpli,-0.192648475780331,0.858,1,0
gamma_low FC1-P1,dwpli,-1.04493778878739,0.2998,1,0
gamma_low FC1-Pz,dwpli,-1.55010492092372,0.1216,0.9988,0
gamma_low FC1-P2,dwpli,-0.625542591295825,0.5468,1,0
gamma_low FC1-P4,dwpli,0.116699965440459,0.911,1,0
gamma_low FC1-CP1,dwpli,-0.587683504933179,0.5548,1,0
gamma_low FC1-CP2,dwpli,2.66202140676084,0.0078,0.5304,0
gamma_low FC1-POz,dwpli,-0.843507471063395,0.4134,1,0
gamma_low FCz-P3,dwpli,-0.460931893775852,0.6444,1,0
gamma_low FCz-P1,dwpli,-0.89048227464682,0.3674,1,0
gamma_low FCz-Pz,dwpli,-0.209132209921688,0.8352,1,0
gamma_low FCz-P2,dwpli,0.0562946639304454,0.9538,1,0
gamma_low FCz-P4,dwpli,0.201417595591823,0.8458,1,0
gamma_low FCz-CP1,dwpli,0.163556701016584,0.876,1,0
gamma_low FCz-CP2,dwpli,2.29156508243147,0.0232,0.8296,0
gamma_low FCz-POz,dwpli,0.167460004383106,0.8702,1,0
gamma_low FC2-P3,dwpli,-0.542440673210467,0.5896,1,0
gamma_low FC2-P1,dwpli,-1.084173713363,0.2804,1,0
gamma_low FC2-Pz,dwpli,-0.656206137336434,0.522,1,0
gamma_low FC2-P2,dwpli,-0.503841724889538,0.6372,1,0
gamma_low FC2-P4,dwpli,-0.113044282947406,0.91,1,0
gamma_low FC2-CP1,dwpli,0.233051942698102,0.8066,1,0
gamma_low FC2-CP2,dwpli,1.19933165205117,0.2394,1,0
gamma_low FC2-POz,dwpli,-0.821271921031789,0.4302,1,0
gamma_high F3-P3,dwpli,-0.326218878016852,0.7468,1,0
gamma_high F3-P1,dwpli,0.333151954425532,0.7414,1,0
gamma_high F3-Pz,dwpli,0.466159651964918,0.641,1,0
gamma_high F3-P2,dwpli,-1.54531846351345,0.122,0.9988,0
gamma_high F3-P4,dwpli,-1.32282145736303,0.1966,1,0
gamma_high F3-CP1,dwpli,0.430640270015042,0.669,1,0
gamma_high F3-CP2,dwpli,-1.15630338481476,0.2634,1,0
gamma_high F3-POz,dwpli,1.36480255067793,0.179,0.9998,0
gamma_high F1-P3,dwpli,0.453705562873452,0.6608,1,0
gamma_high F1-P1,dwpli,-0.483349025478065,0.6402,1,0
gamma_high F1-Pz,dwpli,-0.684890286388542,0.5004,1,0
gamma_high F1-P2,dwpli,-1.84187879039648,0.0694,0.989,0
gamma_high F1-P4,dwpli,-1.65085566795651,0.1072,0.9978,0
gamma_high F1-CP1,dwpli,0.768320757754705,0.44,1,0
gamma_high F1-CP2,dwpli,-0.839352781834009,0.4094,1,0
gamma_high F1-POz,dwpli,-1.64679227029547,0.1082,0.9978,0
gamma_high Fz-P3,dwpli,0.746037500216773,0.4692,1,0
gamma_high Fz-P1,dwpli,-1.056414162816,0.3018,1,0
gamma_high Fz-Pz,dwpli,-1.00515078025125,0.326,1,0
gamma_high Fz-P2,dwpli,-1.99429420912049,0.0506,0.9628,0
gamma_high Fz-P4,dwpli,-0.984212407807552,0.332,1,0
gamma_high Fz-CP1,dwpli,0.956832621348001,0.3434,1,0
gamma_high Fz-CP2,dwpli,-0.262542838377747,0.8022,1,0
gamma_high Fz-POz,dwpli,-1.54393334890708,0.1358,0.999,0
gamma_high F2-P3,dwpli,1.22085440573504,0.2288,1,0
gamma_high F2-P1,dwpli,-0.550162790594109,0.5866,1,0
gamma_high F2-Pz,dwpli,0.154696704155855,0.8794,1,0
gamma_high F2-P2,dwpli,-0.0863809479395333,0.9316,1,0
gamma_high F2-P4,dwpli,0.0991404037771615,0.919,1,0
gamma_high F2-CP1,dwpli,0.571467405526496,0.5626,1,0
gamma_high F2-CP2,dwpli,0.699907497601467,0.4856,1,0
gamma_high F2-POz,dwpli,-0.182123127794439,0.8552,1,0
gamma_high F4-P3,dwpli,0.503498603883949,0.638,1,0
gamma_high F4-P1,dwpli,-0.262589819489416,0.7998,1,0
gamma_high F4-Pz,dwpli,-0.163058140371564,0.873,1,0
gamma_high F4-P2,dwpli,-0.0824174551365554,0.9364,1,0
gamma_high F4-P4,dwpli,0.597100158784683,0.558,1,0
gamma_high F4-CP1,dwpli,-0.987932934755651,0.3096,1,0
gamma_high F4-CP2,dwpli,-0.385457863632189,0.7058,1,0
gamma_high F4-POz,dwpli,0.326129771004945,0.7414,1,0
gamma_high FC1-P3,dwpli,-1.19979548731952,0.2398,1,0
