pair_band,metric,t,p_uncorr,p_fwer,sig_fwer
gamma_low F3-P3,dwpli,-0.463066088804091,0.6486,1,0
gamma_low F3-P1,dwpli,-0.269323186164832,0.7906,1,0
gamma_low F3-Pz,dwpli,-0.688218391164705,0.4962,1,0
gamma_low F3-P2,dwpli,0.200088087171145,0.84,1,0
gamma_low F3-P4,dwpli,0.770015585644773,0.4508,1,0
gamma_low F3-CP1,dwpli,-0.790024294344878,0.4334,1,0
gamma_low F3-CP2,dwpli,-0.798677693179084,0.4478,1,0
gamma_low F3-POz,dwpli,0.719731782713631,0.4672,1,0
gamma_low F1-P3,dwpli,-1.10724370286467,0.2728,1,0
gamma_low F1-P1,dwpli,-0.947014897887212,0.3494,1,0
gamma_low F1-Pz,dwpli,-1.36731010501009,0.1886,1,0
gamma_low F1-P2,dwpli,-0.286054371391721,0.7894,1,0
gamma_low F1-P4,dwpli,0.153883749821318,0.8886,1,0
gamma_low F1-CP1,dwpli,-0.269259865264289,0.7886,1,0
gamma_low F1-CP2,dwpli,-0.976704988113212,0.3426,1,0
gamma_low F1-POz,dwpli,0.46311631685778,0.6442,1,0
gamma_low Fz-P3,dwpli,0.0433128367619752,0.9654,1,0
gamma_low Fz-P1,dwpli,1.08796050656303,0.281,1,0
gamma_low Fz-Pz,dwpli,-0.225834478917903,0.8306,1,0
gamma_low Fz-P2,dwpli,-1.035611753847,0.312,1,0
gamma_low Fz-P4,dwpli,0.280284995867298,0.786,1,0
gamma_low Fz-CP1,dwpli,-0.16709396358261,0.8658,1,0
gamma_low Fz-CP2,dwpli,-0.371535432449659,0.7148,1,0
gamma_low Fz-POz,dwpli,1.11656256850122,0.2732,1,0
gamma_low F2-P3,dwpli,-1.46356003456703,0.1522,1,0
gamma_low F2-P1,dwpli,0.0285691369339388,0.9786,1,0
gamma_low F2-Pz,dwpli,-1.13118031906918,0.2706,1,0
gamma_low F2-P2,dwpli,-0.362600057026552,0.7154,1,0
gamma_low F2-P4,dwpli,-0.150545123979006,0.8822,1,0
gamma_low F2-CP1,dwpli,-1.27448724840849,0.2104,1,0
gamma_low F2-CP2,dwpli,-1.06761678880403,0.2936,1,0
gamma_low F2-POz,dwpli,-0.307805648262895,0.7616,1,0
gamma_low F4-P3,dwpli,-0.323363573233367,0.749,1,0
gamma_low F4-P1,dwpli,-0.302292348602892,0.757,1,0
gamma_low F4-Pz,dwpli,-1.61194349291969,0.1156,0.9994,0
gamma_low F4-P2,dwpli,-1.04342191754026,0.309,1,0
gamma_low F4-P4,dwpli,-0.604811612728892,0.5516,1,0
gamma_low F4-CP1,dwpli,-1.59607411797346,0.119,0.9996,0
gamma_low F4-CP2,dwpli,-0.242240644450227,0.816,1,0
gamma_low F4-POz,dwpli,0.0751756111955161,0.9356,1,0
gamma_low FC1-P3,dwpli,-1.31645376147539,0.1882,1,0
gamma_low FC1-P1,dwpli,-0.990337091060384,0.326,1,0
gamma_low FC1-Pz,dwpli,-0.797973400721155,0.4364,1,0
gamma_low FC1-P2,dwpli,-0.484259162019609,0.6414,1,0
gamma_low FC1-P4,dwpli,0.320420491293514,0.7576,1,0
gamma_low FC1-CP1,dwpli,-1.26592021956351,0.2172,1,0
gamma_low FC1-CP2,dwpli,-0.622214808361038,0.5378,1,0
gamma_low FC1-POz,dwpli,1.27654247614369,0.2134,1,0
gamma_low FCz-P3,dwpli,-0.838455639901291,0.4168,1,0
gamma_low FCz-P1,dwpli,-0.760594168271987,0.4502,1,0
gamma_low FCz-Pz,dwpli,-0.97111471669068,0.3388,1,0
