pair,metric,n,dz,t_freq,p_freq,BF10,BF01,p_TOST,equivalent_at_0p4
F1-P3,PLV,47,-0.0954856798747603,-0.654616840505822,0.515974452275666,0.193886555434352,5.15765519563625,0.0211981989764318,1
F1-POz,PLV,47,-0.134591113058701,-0.922710183413978,0.360972907521178,0.236340427205523,4.23118470176241,0.0376694417707994,1
FCz-POz,PLV,47,-0.121122675556386,-0.830375227891022,0.410615761829482,0.219134512884691,4.56340713672156,0.0310655717156527,1
Fz-P1,PLV,47,-0.161212315341058,-1.10521595130923,0.274813319343187,0.28066283752426,3.56299397818766,0.0542225271479706,0
Fz-P2,PLV,47,-0.121762277002181,-0.834760114485309,0.408167298750719,0.219884123754236,4.54784994444482,0.0313552036781339,1
Fz-P3,PLV,47,-0.00189880891693285,-0.0130175780866532,0.989670064484102,0.158367592126657,6.31442321355895,0.00448172441479655,1
Fz-POz,PLV,47,-0.172769840702418,-1.18445035322209,0.24231880052647,0.305188991861723,3.27665815827684,0.0630660459135366,0
F1-P3,dwPLI,47,-0.170925703862926,-1.17180758801465,0.247307967099608,0.301025856213244,3.32197377520823,0.0615816963365767,0
F1-POz,dwPLI,47,-0.136556473053342,-0.936184012702683,0.354067603785197,0.2391154226688,4.18208072419112,0.0387257523359433,1
FCz-POz,dwPLI,47,0.0318622977346356,0.218436908043802,0.828054930943608,0.161979368512492,6.17362574742274,0.00756271599587245,1
Fz-P1,dwPLI,47,-0.134504583911731,-0.922116969469486,0.361278920882917,0.236219881205791,4.23334392895074,0.0376234991902703,1
Fz-P2,dwPLI,47,0.232170395709904,1.59168004142553,0.118306240170394,0.510860796269867,1.95748040816924,0.127925254360874,0
Fz-P3,dwPLI,47,-0.223146414002723,-1.52981473972076,0.132910999080333,0.46821460027684,2.13577278326804,0.115765860929252,0
Fz-POz,dwPLI,47,-0.148716284550851,-1.01954748033559,0.31327554373378,0.25795467293503,3.87665006654819,0.0458289147455099,1
