subject,level,metric,d_val
sub-01,roi_avg,dwPLI,-0.00258923509240748
sub-02,roi_avg,dwPLI,0.00115554812750485
sub-03,roi_avg,dwPLI,0.00258519086513898
sub-04,roi_avg,dwPLI,-0.000166570721801565
sub-05,roi_avg,dwPLI,0.000134096121839722
sub-06,roi_avg,dwPLI,-0.000178490376363253
sub-07,roi_avg,dwPLI,-0.00909940698934036
sub-09,roi_avg,dwPLI,0.00225409059250182
sub-10,roi_avg,dwPLI,-0.00447983450229658
sub-11,roi_avg,dwPLI,0.00471848757895979
sub-12,roi_avg,dwPLI,-0.0024123848231742
sub-13,roi_avg,dwPLI,-0.00180007883293194
sub-14,roi_avg,dwPLI,-0.00257902980844071
sub-15,roi_avg,dwPLI,0.000231735672037121
sub-16,roi_avg,dwPLI,-0.00331361890738113
sub-17,roi_avg,dwPLI,-0.00199103553456796
sub-18,roi_avg,dwPLI,0.0063295992168283
sub-19,roi_avg,dwPLI,0.00307898331062985
sub-20,roi_avg,dwPLI,0.00160187074393712
sub-21,roi_avg,dwPLI,-0.00273990937956873
sub-22,roi_avg,dwPLI,-0.00681586777219483
sub-23,roi_avg,dwPLI,0.00215382455693472
sub-24,roi_avg,dwPLI,0.00168135120389843
sub-25,roi_avg,dwPLI,0.000438043851773508
sub-26,roi_avg,dwPLI,-0.00509365643156208
sub-27,roi_avg,dwPLI,-0.00683759225344831
sub-28,roi_avg,dwPLI,0.00433507511373002
sub-29,roi_avg,dwPLI,-0.00110577142253877
sub-30,roi_avg,dwPLI,-0.00114721647364827
sub-31,roi_avg,dwPLI,-0.00207212054180638
sub-32,roi_avg,dwPLI,0.00644277007575385
sub-33,roi_avg,dwPLI,-0.00192856179109814
sub-34,roi_avg,dwPLI,0.00519271423279776
sub-35,roi_avg,dwPLI,0.00152632516106595
sub-36,roi_avg,dwPLI,0.00265322172676465
sub-37,roi_avg,dwPLI,-0.00332424829641242
sub-38,roi_avg,dwPLI,-0.00276681139347065
sub-39,roi_avg,dwPLI,0.0059287494351842
