subject,condition,mean_angle_deg,resultant_len,n_trials
sub-01,avatar_valid,168.984868411301,0.134023807536894,49
sub-01,avatar_invalid,173.167744109253,0.140735595814775,54
sub-01,stick_valid,-169.520938646423,0.0907001350633889,43
sub-01,stick_invalid,156.514276895205,0.128084562597441,50
sub-02,avatar_valid,171.473993172739,0.215725337260089,33
sub-02,avatar_invalid,177.001654549249,0.223164199015115,38
sub-02,stick_valid,-176.9171825067,0.193942062655836,22
sub-02,stick_invalid,177.293300179717,0.266590331442712,23
sub-03,avatar_valid,-143.783372111541,0.0982911172759647,42
sub-03,avatar_invalid,-115.035991060961,0.1112264081574,45
sub-03,stick_valid,-126.786623548784,0.088472345869489,43
sub-03,stick_invalid,-111.655397255364,0.0650226864972555,37
sub-04,avatar_valid,-178.65704736952,0.360551266777664,51
sub-04,avatar_invalid,-176.245599861014,0.349550762271892,48
sub-04,stick_valid,-177.461584634807,0.326775764211395,55
sub-04,stick_invalid,176.590233216712,0.354752685389599,52
sub-05,avatar_valid,-179.903766963634,0.320202826280239,54
sub-05,avatar_invalid,179.253706372575,0.289312268755056,51
sub-05,stick_valid,-173.671962736907,0.23867903615736,46
sub-05,stick_invalid,-172.511960624015,0.255608348613909,53
sub-06,avatar_valid,178.880347271622,0.0903003165975803,38
sub-06,avatar_invalid,167.50938808242,0.0802132266426798,37
sub-06,stick_valid,-155.127361903759,0.0260412913842937,50
sub-06,stick_invalid,-178.846194320645,0.059470954017223,52
sub-07,avatar_valid,179.932457949676,0.187218879225745,29
sub-07,avatar_invalid,172.318421547115,0.24302368424749,28
sub-07,stick_valid,177.639647647025,0.107490617132956,53
sub-07,stick_invalid,157.107056418055,0.11497838180569,47
sub-09,avatar_valid,-177.403281884735,0.622504025871674,55
sub-09,avatar_invalid,-175.914738421684,0.619601152265339,51
sub-09,stick_valid,-176.344590082703,0.563909594192714,50
sub-09,stick_invalid,179.9619611909,0.573346966387166,48
sub-10,avatar_valid,-150.511397623987,0.0772351115746146,40
sub-10,avatar_invalid,-120.155788587533,0.0407887205239641,40
sub-10,stick_valid,-162.241624286754,0.0972691401311558,51
sub-10,stick_invalid,-169.365562522475,0.0793678217170192,52
sub-11,avatar_valid,179.787221511225,0.544972600921762,51
sub-11,avatar_invalid,-177.988526435149,0.540039987398243,49
sub-11,stick_valid,-177.431674593015,0.47581168266791,49
sub-11,stick_invalid,-178.766828833279,0.517756473387593,51
sub-12,avatar_valid,-177.752141763217,0.221442042729102,43
sub-12,avatar_invalid,-168.365324499513,0.201091117663996,44
sub-12,stick_valid,-170.597862596204,0.21263686796105,44
sub-12,stick_invalid,-170.062471450991,0.216337023154643,42
sub-13,avatar_valid,-163.968026224281,0.111266249853792,45
sub-13,avatar_invalid,-172.825231049708,0.142095980046555,48
sub-13,stick_valid,-178.928596450964,0.205529688414373,54
sub-13,stick_invalid,179.929002631631,0.202667896669196,48
sub-14,avatar_valid,-173.507440337671,0.253007293933797,49
sub-14,avatar_invalid,179.333905679024,0.276621709772141,44
sub-14,stick_valid,-176.244902730088,0.283277668473839,49
sub-14,stick_invalid,-174.175705023211,0.348250254876059,52
sub-15,avatar_valid,-175.636136600287,0.259030531002422,48
sub-15,avatar_invalid,-172.674102846569,0.241382963060872,54
sub-15,stick_valid,-169.218413720033,0.124841873901414,48
sub-15,stick_invalid,-172.629689269207,0.161400974251663,50
sub-16,avatar_valid,-169.70295321818,0.353503522994627,50
sub-16,avatar_invalid,-173.09109790387,0.363874749139259,53
sub-16,stick_valid,-173.578194193755,0.412496915152994,51
sub-16,stick_invalid,-176.818279114174,0.442061909068517,49
sub-17,avatar_valid,170.683266655757,0.257988628817316,53
sub-17,avatar_invalid,175.941533613012,0.269505893458922,51
sub-17,stick_valid,176.287467005913,0.28329224305641,45
sub-17,stick_invalid,172.943594619128,0.231942861003625,45
sub-18,avatar_valid,176.319227450209,0.525374437102468,48
sub-18,avatar_invalid,176.043287283749,0.4862842069108,49
sub-18,stick_valid,177.691258526359,0.486116230063167,54
sub-18,stick_invalid,178.595637112951,0.480006268305748,53
sub-19,avatar_valid,178.705180238905,0.408024929127387,51
sub-19,avatar_invalid,-179.351439670522,0.422125848286469,53
sub-19,stick_valid,-178.994953035763,0.459801971208599,46
sub-19,stick_invalid,-176.370253285378,0.493826344696768,46
sub-20,avatar_valid,-179.087296159869,0.417309918258133,51
sub-20,avatar_invalid,-175.641440692874,0.420466324070209,50
sub-20,stick_valid,174.782437223404,0.379699350078197,48
sub-20,stick_invalid,-179.266735667469,0.428867548644589,48
sub-21,avatar_valid,-176.871945435674,0.0857635785376583,54
sub-21,avatar_invalid,175.227614418884,0.119672819040723,51
sub-21,stick_valid,165.850676813317,0.110655056531099,54
sub-21,stick_invalid,145.29713938987,0.117257595249117,54
sub-22,avatar_valid,-173.605525298136,0.353273577482488,49
