policy,contrast,metric,band,n,dz,t,p_freq,BF10,BF01,p_TOST,equivalent_at_0p4
FULL (all 47),d_cue,dwpli,gamma_low,47,0.10054447438855,0.689298188386767,0.494098167566633,0.198181276374896,5.04588535451916,0.0228944122968951,1
FULL (all 47),d_val,dwpli,gamma_low,47,-0.0863717843658851,-0.592135120832827,0.556659567791916,0.186906476578705,5.35026938768976,0.0184180267066515,1
FULL (all 47),d_int,dwpli,gamma_low,47,-0.1444980784428,-0.99062891622549,0.327049278076743,0.251080324345678,3.98278918352534,0.0432510739240063,1
FULL (all 47),d_cue,plv,gamma_low,47,0.0581214805552273,0.398460795550564,0.692134101115924,0.170724982661922,5.85737356307278,0.011732150615444,1
FULL (all 47),d_val,plv,gamma_low,47,-0.105386433955045,-0.722492990763763,0.473648759044756,0.202591103232693,4.93605091261789,0.0246273098130744,1
FULL (all 47),d_int,plv,gamma_low,47,0.0417325790943329,0.286104147854664,0.77608291091376,0.164621300372977,6.07454805504716,0.00893938331810674,1
FULL (all 47),d_cue,dwpli,gamma_high,47,-0.0612895577675439,-0.420180038665608,0.676310235824912,0.172166413690564,5.80833380079177,0.0123546584333868,1
FULL (all 47),d_val,dwpli,gamma_high,47,0.0311079727476635,0.213265516476669,0.832062259271964,0.161808029309491,6.18016302570065,0.00746587850347704,1
FULL (all 47),d_int,dwpli,gamma_high,47,0.0499945463078276,0.342745341390221,0.733351383611209,0.167421466964875,5.97294969473538,0.0102618999582715,1
FULL (all 47),d_cue,plv,gamma_high,47,-0.00805171591053071,-0.0551997832231521,0.956218359589553,0.158583979873774,6.30580718680383,0.00499937354881985,1
FULL (all 47),d_val,plv,gamma_high,47,-0.571133315093934,-3.91549273906603,0.000296543994458665,86.7617539814777,0.0115258158590649,0.876628696290474,0
FULL (all 47),d_int,plv,gamma_high,47,0.168542968067943,1.15547237440024,0.253863703668342,0.295791770993221,3.38075666081636,0.0597056922972721,0
WITHOUT sub-48,d_cue,dwpli,gamma_low,46,0.104818524396739,0.710913820802954,0.480806365672761,0.202984338564363,4.9264884526198,0.0256661212940099,1
WITHOUT sub-48,d_val,dwpli,gamma_low,46,-0.0642821875487542,-0.435983007992797,0.664933519697795,0.17499378408045,5.71448869029696,0.0137970926681553,1
WITHOUT sub-48,d_int,dwpli,gamma_low,46,-0.140979628465788,-0.956170361153372,0.344094982538875,0.245685576906244,4.07024300161344,0.0428807077394281,1
WITHOUT sub-48,d_cue,plv,gamma_low,46,0.063539792854094,0.43094784219589,0.668563638029279,0.174633472535214,5.72627907744523,0.0136352780941753,1
WITHOUT sub-48,d_val,plv,gamma_low,46,-0.103229794860833,-0.700138532836498,0.487444885743529,0.201541825279,4.96174924790758,0.0250714704252444,1
WITHOUT sub-48,d_int,plv,gamma_low,46,0.0109957595686529,0.0745768698097112,0.940881920259791,0.160365589879568,6.23575170178954,0.0057006467017823,1
WITHOUT sub-48,d_cue,dwpli,gamma_high,46,-0.0607288575015906,-0.41188315107398,0.682380488893861,0.173313239039011,5.76989966574284,0.0130378282218669,1
WITHOUT sub-48,d_val,dwpli,gamma_high,46,0.0213601228877391,0.144871401904753,0.88545933222719,0.161542341942626,6.19032748921742,0.00680889637125461,1
WITHOUT sub-48,d_int,dwpli,gamma_high,46,0.0310479434322023,0.210577397654603,0.834167685770313,0.163339655519586,6.122212005523,0.00801918304255959,1
WITHOUT sub-48,d_cue,plv,gamma_high,46,0.0194614727874457,0.13199413040207,0.895577350602301,0.161269639859852,6.20079514575112,0.00659219976789596,1
WITHOUT sub-48,d_val,plv,gamma_high,46,-0.578113929043476,-3.92095943461392,0.000298029625293017,86.9101286790638,0.0115061387573448,0.883326412988434,0
WITHOUT sub-48,d_int,plv,gamma_high,46,0.180097237912138,1.22147889656954,0.228265512339033,0.320875384744653,3.11647464262733,0.071410026007568,0
