subject,cue,rms_amp
sub-01,stick,6.64935900058065
sub-01,avatar,7.19570556708745
sub-02,stick,7.81429440066928
sub-02,avatar,8.44501319527626
sub-03,stick,6.64101942096438
sub-03,avatar,7.62024807504245
sub-04,stick,8.17123999765941
sub-04,avatar,7.88668155244419
sub-05,stick,9.70369242770331
sub-05,avatar,9.22377098032406
sub-06,stick,6.18275525527341
sub-06,avatar,6.7558081554515
sub-07,stick,10.2549405055387
sub-07,avatar,9.62733101844788
sub-09,stick,9.46502524614334
sub-09,avatar,9.67418731110437
sub-10,stick,8.52415016293526
sub-10,avatar,8.34073825819152
sub-11,stick,10.0453576573304
sub-11,avatar,9.57878736513002
sub-12,stick,11.1906531027385
sub-12,avatar,11.8312216443675
sub-13,stick,7.47793224879674
sub-13,avatar,7.05789630966527
sub-14,stick,5.11174034433706
sub-14,avatar,4.86990933545998
sub-15,stick,6.10931093565055
sub-15,avatar,6.41866027031626
sub-16,stick,8.74627867766789
sub-16,avatar,8.20020403180804
sub-17,stick,6.29170875251293
sub-17,avatar,6.37363272266729
sub-18,stick,7.12750718636172
sub-18,avatar,7.75705642359597
sub-19,stick,9.24424556749208
sub-19,avatar,8.17071186218943
sub-20,stick,12.0426833799907
sub-20,avatar,13.3885711772101
sub-21,stick,6.47278613490718
sub-21,avatar,7.43979876807758
sub-22,stick,7.40441156710897
sub-22,avatar,7.2170745496239
sub-23,stick,8.45168817469052
sub-23,avatar,9.27251722131457
sub-24,stick,8.77770668693951
sub-24,avatar,8.31507328152657
sub-25,stick,9.27820276362555
sub-25,avatar,9.36118672149522
sub-26,stick,11.0758476768221
sub-26,avatar,9.1958676725626
sub-27,stick,6.2486936875752
sub-27,avatar,6.76570887012141
sub-28,stick,7.02569010853767
sub-28,avatar,7.50050940471036
sub-29,stick,5.37902496329376
sub-29,avatar,6.3371299803257
sub-30,stick,9.39173266717366
sub-30,avatar,8.63711876528604
sub-31,stick,6.27941208652088
sub-31,avatar,6.7474753516061
sub-32,stick,8.94014560324805
sub-32,avatar,8.0678953741278
sub-33,stick,5.65880615370614
sub-33,avatar,5.77420583793095
sub-34,stick,10.488955957549
sub-34,avatar,10.8500476777554
sub-35,stick,4.78270591369697
sub-35,avatar,5.2318079067128
sub-36,stick,8.70905109987421
sub-36,avatar,8.94988369941711
sub-37,stick,5.86056148154395
sub-37,avatar,7.01819923307214
sub-38,stick,7.26408582925797
sub-38,avatar,7.06500167718955
sub-39,stick,8.71040414060865
sub-39,avatar,8.13877689412662
sub-40,stick,9.44413566163608
sub-40,avatar,8.46476404581751
sub-41,stick,8.92794153094292
sub-41,avatar,9.22319758364132
sub-43,stick,8.80636028306825
sub-43,avatar,8.40576042022024
sub-44,stick,8.24341183049338
sub-44,avatar,7.95846504398755
sub-45,stick,7.72681059581893
sub-45,avatar,9.00236845867974
sub-46,stick,7.6316839669432
sub-46,avatar,8.30729930315699
sub-48,stick,6.96622195839882
sub-48,avatar,7.03484424948692
sub-49,stick,8.29273611307144
sub-49,avatar,8.5426278007882
sub-50,stick,6.48496264432158
sub-50,avatar,6.57791518952165
